Query Sequence	GO:EggNOG GO Molecular
jg14876.t1	GO:0032549-ribonucleoside binding(L=4)
jg14876.t1	GO:0032555-purine ribonucleotide binding(L=4)
jg14876.t1	GO:0035639-purine ribonucleoside triphosphate binding(L=4)
jg14876.t1	GO:0046872-metal ion binding(L=4)
jg22193.t1	GO:0016841-ammonia-lyase activity(L=4)
jg22384.t1	GO:0003677-DNA binding(L=4)
jg16269.t1	GO:0032934-sterol binding(L=4)
jg3520.t1	GO:0001883-purine nucleoside binding(L=4)
jg3520.t1	GO:0017076-purine nucleotide binding(L=4)
jg3520.t1	GO:0032549-ribonucleoside binding(L=4)
jg3520.t1	GO:0032555-purine ribonucleotide binding(L=4)
jg3520.t1	GO:0035639-purine ribonucleoside triphosphate binding(L=4)
jg3520.t1	GO:0046872-metal ion binding(L=4)
jg27117.t1	GO:0003723-RNA binding(L=4)
jg27117.t1	GO:0046872-metal ion binding(L=4)
jg33532.t1	GO:0016831-carboxy-lyase activity(L=4)
jg16170.t1	GO:0016758-transferase activity, transferring hexosyl groups(L=4)
jg15148.t1	GO:0008194-UDP-glycosyltransferase activity(L=4)
jg15148.t1	GO:0016758-transferase activity, transferring hexosyl groups(L=4)
jg28059.t1	GO:0001883-purine nucleoside binding(L=4)
jg28059.t1	GO:0016818-hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides(L=4)
jg28059.t1	GO:0017076-purine nucleotide binding(L=4)
jg28059.t1	GO:0032549-ribonucleoside binding(L=4)
jg28059.t1	GO:0032555-purine ribonucleotide binding(L=4)
jg28059.t1	GO:0035639-purine ribonucleoside triphosphate binding(L=4)
jg15718.t1	GO:0016815-hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in nitriles(L=4)
jg15718.t1	GO:0016836-hydro-lyase activity(L=4)
jg28123.t1	GO:0009918-sterol delta7 reductase activity(L=4)
jg28123.t1	GO:0016628-oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor(L=4)
jg25160.t1	GO:0046872-metal ion binding(L=4)
jg20819.t1	GO:0016818-hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides(L=4)
jg20819.t1	GO:0046872-metal ion binding(L=4)
jg26917.t1	GO:0016731-oxidoreductase activity, acting on iron-sulfur proteins as donors, NAD or NADP as acceptor(L=4)
jg26917.t1	GO:0046872-metal ion binding(L=4)
jg26917.t1	GO:0050660-flavin adenine dinucleotide binding(L=4)
jg26917.t1	GO:0050661-NADP binding(L=4)
jg13612.t1	GO:0001883-purine nucleoside binding(L=4)
jg13612.t1	GO:0016882-cyclo-ligase activity(L=4)
jg13612.t1	GO:0017076-purine nucleotide binding(L=4)
jg13612.t1	GO:0032549-ribonucleoside binding(L=4)
jg13612.t1	GO:0032555-purine ribonucleotide binding(L=4)
jg13612.t1	GO:0035639-purine ribonucleoside triphosphate binding(L=4)
jg16128.t1	GO:0031406-carboxylic acid binding(L=4)
jg33859.t1	GO:0046872-metal ion binding(L=4)
jg33859.t1	GO:0051539-4 iron, 4 sulfur cluster binding(L=4)
jg8326.t1	GO:0046872-metal ion binding(L=4)
jg29693.t1	GO:0008146-sulfotransferase activity(L=4)
jg29693.t1	GO:0046507-UDPsulfoquinovose synthase activity(L=4)
jg29693.t1	GO:0046872-metal ion binding(L=4)
jg24618.t1	GO:0004553-hydrolase activity, hydrolyzing O-glycosyl compounds(L=4)
jg24618.t1	GO:0016758-transferase activity, transferring hexosyl groups(L=4)
jg5023.t1	GO:0001883-purine nucleoside binding(L=4)
jg5023.t1	GO:0016301-kinase activity(L=4)
jg5023.t1	GO:0016628-oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor(L=4)
jg5023.t1	GO:0016773-phosphotransferase activity, alcohol group as acceptor(L=4)
jg5023.t1	GO:0016836-hydro-lyase activity(L=4)
jg5023.t1	GO:0017076-purine nucleotide binding(L=4)
jg5023.t1	GO:0032549-ribonucleoside binding(L=4)
jg5023.t1	GO:0032555-purine ribonucleotide binding(L=4)
jg5023.t1	GO:0035639-purine ribonucleoside triphosphate binding(L=4)
jg5023.t1	GO:0046872-metal ion binding(L=4)
jg14925.t1	GO:0016861-intramolecular oxidoreductase activity, interconverting aldoses and ketoses(L=4)
jg15696.t1	GO:0001883-purine nucleoside binding(L=4)
jg15696.t1	GO:0003677-DNA binding(L=4)
jg15696.t1	GO:0003723-RNA binding(L=4)
jg15696.t1	GO:0016301-kinase activity(L=4)
jg15696.t1	GO:0016747-transferase activity, transferring acyl groups other than amino-acyl groups(L=4)
jg15696.t1	GO:0017076-purine nucleotide binding(L=4)
jg15696.t1	GO:0019887-protein kinase regulator activity(L=4)
jg15696.t1	GO:0032549-ribonucleoside binding(L=4)
jg15696.t1	GO:0032555-purine ribonucleotide binding(L=4)
jg15696.t1	GO:0035639-purine ribonucleoside triphosphate binding(L=4)
jg15696.t1	GO:0046872-metal ion binding(L=4)
jg1286.t1	GO:0001883-purine nucleoside binding(L=4)
jg1286.t1	GO:0004709-MAP kinase kinase kinase activity(L=4)
jg1286.t1	GO:0016301-kinase activity(L=4)
jg1286.t1	GO:0016773-phosphotransferase activity, alcohol group as acceptor(L=4)
jg1286.t1	GO:0017076-purine nucleotide binding(L=4)
jg1286.t1	GO:0032549-ribonucleoside binding(L=4)
jg1286.t1	GO:0032555-purine ribonucleotide binding(L=4)
jg1286.t1	GO:0035639-purine ribonucleoside triphosphate binding(L=4)
jg9308.t1	GO:0015075-ion transmembrane transporter activity(L=4)
jg24849.t1	GO:0016298-lipase activity(L=4)
jg24849.t1	GO:0052689-carboxylic ester hydrolase activity(L=4)
jg15119.t1	GO:0003677-DNA binding(L=4)
jg15119.t1	GO:0046872-metal ion binding(L=4)
jg30413.t1	GO:0001883-purine nucleoside binding(L=4)
jg30413.t1	GO:0016301-kinase activity(L=4)
jg30413.t1	GO:0016773-phosphotransferase activity, alcohol group as acceptor(L=4)
jg30413.t1	GO:0017076-purine nucleotide binding(L=4)
jg30413.t1	GO:0032549-ribonucleoside binding(L=4)
jg30413.t1	GO:0032555-purine ribonucleotide binding(L=4)
jg30413.t1	GO:0035639-purine ribonucleoside triphosphate binding(L=4)
jg109.t1	GO:0016301-kinase activity(L=4)
jg109.t1	GO:0016773-phosphotransferase activity, alcohol group as acceptor(L=4)
jg3810.t1	GO:0009000-selenocysteine lyase activity(L=4)
jg3810.t1	GO:0016783-sulfurtransferase activity(L=4)
jg27296.t1	GO:0001883-purine nucleoside binding(L=4)
jg27296.t1	GO:0016301-kinase activity(L=4)
jg27296.t1	GO:0016773-phosphotransferase activity, alcohol group as acceptor(L=4)
jg27296.t1	GO:0017076-purine nucleotide binding(L=4)
jg27296.t1	GO:0032549-ribonucleoside binding(L=4)
jg27296.t1	GO:0032555-purine ribonucleotide binding(L=4)
jg27296.t1	GO:0035639-purine ribonucleoside triphosphate binding(L=4)
jg7709.t1	GO:0003755-peptidyl-prolyl cis-trans isomerase activity(L=4)
jg21549.t1	GO:0016301-kinase activity(L=4)
jg22450.t1	GO:0005089-Rho guanyl-nucleotide exchange factor activity(L=4)
jg22450.t1	GO:0016301-kinase activity(L=4)
jg22450.t1	GO:0030695-GTPase regulator activity(L=4)
jg29997.t1	GO:0003677-DNA binding(L=4)
jg29997.t1	GO:0046872-metal ion binding(L=4)
jg30472.t1	GO:0004553-hydrolase activity, hydrolyzing O-glycosyl compounds(L=4)
jg30472.t1	GO:0016758-transferase activity, transferring hexosyl groups(L=4)
jg30472.t1	GO:0046872-metal ion binding(L=4)
jg9900.t1	GO:0004553-hydrolase activity, hydrolyzing O-glycosyl compounds(L=4)
jg9900.t1	GO:0016758-transferase activity, transferring hexosyl groups(L=4)
jg6116.t1	GO:0008194-UDP-glycosyltransferase activity(L=4)
jg6116.t1	GO:0016758-transferase activity, transferring hexosyl groups(L=4)
jg24186.t1	GO:0015645-fatty acid ligase activity(L=4)
jg24186.t1	GO:0016878-acid-thiol ligase activity(L=4)
jg32011.t1	GO:0046872-metal ion binding(L=4)
jg28177.t1	GO:0042578-phosphoric ester hydrolase activity(L=4)
jg15490.t1	GO:0001883-purine nucleoside binding(L=4)
jg15490.t1	GO:0017076-purine nucleotide binding(L=4)
jg15490.t1	GO:0032549-ribonucleoside binding(L=4)
jg15490.t1	GO:0032555-purine ribonucleotide binding(L=4)
jg15490.t1	GO:0035639-purine ribonucleoside triphosphate binding(L=4)
jg15490.t1	GO:0046872-metal ion binding(L=4)
jg1304.t1	GO:0001067-regulatory region nucleic acid binding(L=4)
jg1304.t1	GO:0003677-DNA binding(L=4)
jg25615.t1	GO:0046872-metal ion binding(L=4)
jg17708.t1	GO:0001883-purine nucleoside binding(L=4)
jg17708.t1	GO:0016208-AMP binding(L=4)
jg17708.t1	GO:0016405-CoA-ligase activity(L=4)
jg17708.t1	GO:0016878-acid-thiol ligase activity(L=4)
jg17708.t1	GO:0017076-purine nucleotide binding(L=4)
jg17708.t1	GO:0032549-ribonucleoside binding(L=4)
jg17708.t1	GO:0032555-purine ribonucleotide binding(L=4)
jg28344.t1	GO:0016790-thiolester hydrolase activity(L=4)
jg28344.t1	GO:0070011-peptidase activity, acting on L-amino acid peptides(L=4)
jg8907.t1	GO:0001883-purine nucleoside binding(L=4)
jg8907.t1	GO:0005342-organic acid transmembrane transporter activity(L=4)
jg8907.t1	GO:0008168-methyltransferase activity(L=4)
jg8907.t1	GO:0015075-ion transmembrane transporter activity(L=4)
jg8907.t1	GO:0015291-secondary active transmembrane transporter activity(L=4)
jg8907.t1	GO:0015399-primary active transmembrane transporter activity(L=4)
jg8907.t1	GO:0016301-kinase activity(L=4)
jg8907.t1	GO:0016773-phosphotransferase activity, alcohol group as acceptor(L=4)
jg8907.t1	GO:0016884-carbon-nitrogen ligase activity, with glutamine as amido-N-donor(L=4)
jg8907.t1	GO:0017076-purine nucleotide binding(L=4)
jg8907.t1	GO:0032549-ribonucleoside binding(L=4)
jg8907.t1	GO:0032555-purine ribonucleotide binding(L=4)
jg8907.t1	GO:0035639-purine ribonucleoside triphosphate binding(L=4)
jg8907.t1	GO:0046872-metal ion binding(L=4)
jg8907.t1	GO:0080161-auxin transmembrane transporter activity(L=4)
jg7744.t1	GO:0001883-purine nucleoside binding(L=4)
jg7744.t1	GO:0016818-hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides(L=4)
jg7744.t1	GO:0017076-purine nucleotide binding(L=4)
jg7744.t1	GO:0032549-ribonucleoside binding(L=4)
jg7744.t1	GO:0032555-purine ribonucleotide binding(L=4)
jg7744.t1	GO:0035639-purine ribonucleoside triphosphate binding(L=4)
jg20544.t1	GO:0015291-secondary active transmembrane transporter activity(L=4)
jg34472.t1	GO:0005342-organic acid transmembrane transporter activity(L=4)
jg34472.t1	GO:0015075-ion transmembrane transporter activity(L=4)
jg5403.t1	GO:0001883-purine nucleoside binding(L=4)
jg5403.t1	GO:0016301-kinase activity(L=4)
jg5403.t1	GO:0016773-phosphotransferase activity, alcohol group as acceptor(L=4)
jg5403.t1	GO:0017076-purine nucleotide binding(L=4)
jg5403.t1	GO:0032549-ribonucleoside binding(L=4)
jg5403.t1	GO:0032555-purine ribonucleotide binding(L=4)
jg5403.t1	GO:0035639-purine ribonucleoside triphosphate binding(L=4)
jg14207.t1	GO:0005315-inorganic phosphate transmembrane transporter activity(L=4)
jg14207.t1	GO:0015075-ion transmembrane transporter activity(L=4)
jg14207.t1	GO:0015291-secondary active transmembrane transporter activity(L=4)
jg5228.t1	GO:0016758-transferase activity, transferring hexosyl groups(L=4)
jg112.t1	GO:0001883-purine nucleoside binding(L=4)
jg112.t1	GO:0003723-RNA binding(L=4)
jg112.t1	GO:0016836-hydro-lyase activity(L=4)
jg112.t1	GO:0017076-purine nucleotide binding(L=4)
jg112.t1	GO:0032549-ribonucleoside binding(L=4)
jg112.t1	GO:0032555-purine ribonucleotide binding(L=4)
jg112.t1	GO:0035639-purine ribonucleoside triphosphate binding(L=4)
jg112.t1	GO:0046872-metal ion binding(L=4)
jg112.t1	GO:0051539-4 iron, 4 sulfur cluster binding(L=4)
jg25210.t1	GO:0001883-purine nucleoside binding(L=4)
jg25210.t1	GO:0003677-DNA binding(L=4)
jg25210.t1	GO:0016818-hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides(L=4)
jg25210.t1	GO:0017076-purine nucleotide binding(L=4)
jg25210.t1	GO:0032549-ribonucleoside binding(L=4)
jg25210.t1	GO:0032555-purine ribonucleotide binding(L=4)
jg25210.t1	GO:0035639-purine ribonucleoside triphosphate binding(L=4)
jg25071.t1	GO:0016747-transferase activity, transferring acyl groups other than amino-acyl groups(L=4)
jg25071.t1	GO:0016790-thiolester hydrolase activity(L=4)
jg26609.t1	GO:0016899-oxidoreductase activity, acting on the CH-OH group of donors, oxygen as acceptor(L=4)
jg16329.t1	GO:0003723-RNA binding(L=4)
jg16329.t1	GO:0009982-pseudouridine synthase activity(L=4)
jg22709.t1	GO:0003779-actin binding(L=4)
jg22709.t1	GO:0003917-DNA topoisomerase type I activity(L=4)
jg22709.t1	GO:0016818-hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides(L=4)
jg22709.t1	GO:0042578-phosphoric ester hydrolase activity(L=4)
jg22709.t1	GO:0046872-metal ion binding(L=4)
jg22709.t1	GO:0051015-actin filament binding(L=4)
jg22709.t1	GO:0061505-DNA topoisomerase II activity(L=4)
jg33773.t1	GO:0001883-purine nucleoside binding(L=4)
jg33773.t1	GO:0016301-kinase activity(L=4)
jg33773.t1	GO:0016773-phosphotransferase activity, alcohol group as acceptor(L=4)
jg33773.t1	GO:0017076-purine nucleotide binding(L=4)
jg33773.t1	GO:0032549-ribonucleoside binding(L=4)
jg33773.t1	GO:0032555-purine ribonucleotide binding(L=4)
jg33773.t1	GO:0035639-purine ribonucleoside triphosphate binding(L=4)
jg20914.t1	GO:0034038-deoxyhypusine synthase activity(L=4)
jg28064.t1	GO:0070011-peptidase activity, acting on L-amino acid peptides(L=4)
jg24429.t1	GO:0003677-DNA binding(L=4)
jg24429.t1	GO:0046872-metal ion binding(L=4)
jg24429.t1	GO:0070011-peptidase activity, acting on L-amino acid peptides(L=4)
jg25810.t1	GO:0004553-hydrolase activity, hydrolyzing O-glycosyl compounds(L=4)
jg33496.t1	GO:0016709-oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen(L=4)
jg33496.t1	GO:0046872-metal ion binding(L=4)
jg16413.t1	GO:0003677-DNA binding(L=4)
jg16413.t1	GO:0016634-oxidoreductase activity, acting on the CH-CH group of donors, oxygen as acceptor(L=4)
jg16413.t1	GO:0042803-protein homodimerization activity(L=4)
jg7813.t1	GO:0003677-DNA binding(L=4)
jg8548.t1	GO:0001883-purine nucleoside binding(L=4)
jg8548.t1	GO:0016301-kinase activity(L=4)
jg8548.t1	GO:0016773-phosphotransferase activity, alcohol group as acceptor(L=4)
jg8548.t1	GO:0017076-purine nucleotide binding(L=4)
jg8548.t1	GO:0032549-ribonucleoside binding(L=4)
jg8548.t1	GO:0032555-purine ribonucleotide binding(L=4)
jg8548.t1	GO:0035639-purine ribonucleoside triphosphate binding(L=4)
jg16379.t1	GO:0046872-metal ion binding(L=4)
jg16379.t1	GO:0070011-peptidase activity, acting on L-amino acid peptides(L=4)
jg29835.t1	GO:0016861-intramolecular oxidoreductase activity, interconverting aldoses and ketoses(L=4)
jg26773.t1	GO:0001883-purine nucleoside binding(L=4)
jg26773.t1	GO:0016301-kinase activity(L=4)
jg26773.t1	GO:0016776-phosphotransferase activity, phosphate group as acceptor(L=4)
jg26773.t1	GO:0017076-purine nucleotide binding(L=4)
jg26773.t1	GO:0032549-ribonucleoside binding(L=4)
jg26773.t1	GO:0032555-purine ribonucleotide binding(L=4)
jg26773.t1	GO:0035639-purine ribonucleoside triphosphate binding(L=4)
jg19584.t1	GO:0001883-purine nucleoside binding(L=4)
jg19584.t1	GO:0017076-purine nucleotide binding(L=4)
jg19584.t1	GO:0032549-ribonucleoside binding(L=4)
jg19584.t1	GO:0032555-purine ribonucleotide binding(L=4)
jg19584.t1	GO:0035639-purine ribonucleoside triphosphate binding(L=4)
jg19584.t1	GO:0046872-metal ion binding(L=4)
jg25158.t1	GO:0004518-nuclease activity(L=4)
jg13138.t1	GO:0005342-organic acid transmembrane transporter activity(L=4)
jg13138.t1	GO:0015075-ion transmembrane transporter activity(L=4)
jg13138.t1	GO:0071917-triose-phosphate transmembrane transporter activity(L=4)
jg13006.t1	GO:0016615-malate dehydrogenase activity(L=4)
jg13006.t1	GO:0016616-oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor(L=4)
jg13006.t1	GO:0046872-metal ion binding(L=4)
jg17084.t1	GO:0001883-purine nucleoside binding(L=4)
jg17084.t1	GO:0003677-DNA binding(L=4)
jg17084.t1	GO:0016779-nucleotidyltransferase activity(L=4)
jg17084.t1	GO:0016818-hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides(L=4)
jg17084.t1	GO:0017076-purine nucleotide binding(L=4)
jg17084.t1	GO:0032549-ribonucleoside binding(L=4)
jg17084.t1	GO:0032555-purine ribonucleotide binding(L=4)
jg17084.t1	GO:0035639-purine ribonucleoside triphosphate binding(L=4)
jg25544.t1	GO:0016790-thiolester hydrolase activity(L=4)
jg25544.t1	GO:0046872-metal ion binding(L=4)
jg5277.t1	GO:0003677-DNA binding(L=4)
jg5277.t1	GO:0016779-nucleotidyltransferase activity(L=4)
jg5277.t1	GO:0046872-metal ion binding(L=4)
jg14229.t1	GO:0001883-purine nucleoside binding(L=4)
jg14229.t1	GO:0003677-DNA binding(L=4)
jg14229.t1	GO:0004518-nuclease activity(L=4)
jg14229.t1	GO:0016747-transferase activity, transferring acyl groups other than amino-acyl groups(L=4)
jg14229.t1	GO:0017076-purine nucleotide binding(L=4)
jg14229.t1	GO:0032549-ribonucleoside binding(L=4)
jg14229.t1	GO:0032555-purine ribonucleotide binding(L=4)
jg14229.t1	GO:0035639-purine ribonucleoside triphosphate binding(L=4)
jg34886.t1	GO:0016747-transferase activity, transferring acyl groups other than amino-acyl groups(L=4)
jg15530.t1	GO:0016747-transferase activity, transferring acyl groups other than amino-acyl groups(L=4)
jg25678.t1	GO:0003677-DNA binding(L=4)
jg25678.t1	GO:0046872-metal ion binding(L=4)
jg2531.t1	GO:0015075-ion transmembrane transporter activity(L=4)
jg2531.t1	GO:0015291-secondary active transmembrane transporter activity(L=4)
jg30347.t1	GO:0051537-2 iron, 2 sulfur cluster binding(L=4)
jg26691.t1	GO:0003723-RNA binding(L=4)
jg26691.t1	GO:0016779-nucleotidyltransferase activity(L=4)
jg14651.t1	GO:0003723-RNA binding(L=4)
jg14651.t1	GO:0008168-methyltransferase activity(L=4)
jg14651.t1	GO:0016779-nucleotidyltransferase activity(L=4)
jg25858.t1	GO:0001883-purine nucleoside binding(L=4)
jg25858.t1	GO:0016706-oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors(L=4)
jg25858.t1	GO:0016818-hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides(L=4)
jg25858.t1	GO:0017076-purine nucleotide binding(L=4)
jg25858.t1	GO:0032549-ribonucleoside binding(L=4)
jg25858.t1	GO:0032555-purine ribonucleotide binding(L=4)
jg25858.t1	GO:0035639-purine ribonucleoside triphosphate binding(L=4)
jg25520.t1	GO:0008194-UDP-glycosyltransferase activity(L=4)
jg25520.t1	GO:0016758-transferase activity, transferring hexosyl groups(L=4)
jg34493.t1	GO:0070011-peptidase activity, acting on L-amino acid peptides(L=4)
jg34922.t1	GO:0003677-DNA binding(L=4)
jg34922.t1	GO:0015075-ion transmembrane transporter activity(L=4)
jg34922.t1	GO:0015116-sulfate transmembrane transporter activity(L=4)
jg8303.t1	GO:0001883-purine nucleoside binding(L=4)
jg8303.t1	GO:0016818-hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides(L=4)
jg8303.t1	GO:0017076-purine nucleotide binding(L=4)
jg8303.t1	GO:0032549-ribonucleoside binding(L=4)
jg8303.t1	GO:0032555-purine ribonucleotide binding(L=4)
jg8303.t1	GO:0035639-purine ribonucleoside triphosphate binding(L=4)
jg8303.t1	GO:0051003-ligase activity, forming nitrogen-metal bonds, forming coordination complexes(L=4)
jg29011.t1	GO:0016616-oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor(L=4)
jg29011.t1	GO:0016899-oxidoreductase activity, acting on the CH-OH group of donors, oxygen as acceptor(L=4)
jg29011.t1	GO:0050660-flavin adenine dinucleotide binding(L=4)
jg16868.t1	GO:0003677-DNA binding(L=4)
jg16124.t1	GO:0001883-purine nucleoside binding(L=4)
jg16124.t1	GO:0003723-RNA binding(L=4)
jg16124.t1	GO:0008200-ion channel inhibitor activity(L=4)
jg16124.t1	GO:0008281-sulfonylurea receptor activity(L=4)
jg16124.t1	GO:0010290-chlorophyll catabolite transmembrane transporter activity(L=4)
jg16124.t1	GO:0015036-disulfide oxidoreductase activity(L=4)
jg16124.t1	GO:0015075-ion transmembrane transporter activity(L=4)
jg16124.t1	GO:0015203-polyamine transmembrane transporter activity(L=4)
jg16124.t1	GO:0015267-channel activity(L=4)
jg16124.t1	GO:0015399-primary active transmembrane transporter activity(L=4)
jg16124.t1	GO:0015416-ATPase-coupled organic phosphonate transmembrane transporter activity(L=4)
jg16124.t1	GO:0015605-organophosphate ester transmembrane transporter activity(L=4)
jg16124.t1	GO:0016301-kinase activity(L=4)
jg16124.t1	GO:0016616-oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor(L=4)
jg16124.t1	GO:0016628-oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor(L=4)
jg16124.t1	GO:0016773-phosphotransferase activity, alcohol group as acceptor(L=4)
jg16124.t1	GO:0016818-hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides(L=4)
jg16124.t1	GO:0016820-hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances(L=4)
jg16124.t1	GO:0017076-purine nucleotide binding(L=4)
jg16124.t1	GO:0019869-chloride channel inhibitor activity(L=4)
jg16124.t1	GO:0022838-substrate-specific channel activity(L=4)
jg16124.t1	GO:0032549-ribonucleoside binding(L=4)
jg16124.t1	GO:0032555-purine ribonucleotide binding(L=4)
jg16124.t1	GO:0035639-purine ribonucleoside triphosphate binding(L=4)
jg16124.t1	GO:0042887-amide transmembrane transporter activity(L=4)
jg16124.t1	GO:0043211-carbohydrate-transporting ATPase activity(L=4)
jg16124.t1	GO:0046872-metal ion binding(L=4)
jg16124.t1	GO:0051119-sugar transmembrane transporter activity(L=4)
jg10857.t1	GO:0016779-nucleotidyltransferase activity(L=4)
jg10857.t1	GO:0046872-metal ion binding(L=4)
jg32811.t1	GO:0015075-ion transmembrane transporter activity(L=4)
jg24551.t1	GO:0005342-organic acid transmembrane transporter activity(L=4)
jg24551.t1	GO:0015075-ion transmembrane transporter activity(L=4)
jg24551.t1	GO:0015267-channel activity(L=4)
jg24551.t1	GO:0015291-secondary active transmembrane transporter activity(L=4)
jg24551.t1	GO:0022838-substrate-specific channel activity(L=4)
jg10855.t1	GO:0001883-purine nucleoside binding(L=4)
jg10855.t1	GO:0003677-DNA binding(L=4)
jg10855.t1	GO:0004518-nuclease activity(L=4)
jg10855.t1	GO:0015075-ion transmembrane transporter activity(L=4)
jg10855.t1	GO:0015399-primary active transmembrane transporter activity(L=4)
jg10855.t1	GO:0016818-hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides(L=4)
jg10855.t1	GO:0016820-hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances(L=4)
jg10855.t1	GO:0017076-purine nucleotide binding(L=4)
jg10855.t1	GO:0032549-ribonucleoside binding(L=4)
jg10855.t1	GO:0032555-purine ribonucleotide binding(L=4)
jg10855.t1	GO:0035639-purine ribonucleoside triphosphate binding(L=4)
jg27132.t1	GO:0016298-lipase activity(L=4)
jg27132.t1	GO:0016747-transferase activity, transferring acyl groups other than amino-acyl groups(L=4)
jg27132.t1	GO:0052689-carboxylic ester hydrolase activity(L=4)
jg14283.t1	GO:0003677-DNA binding(L=4)
jg14283.t1	GO:0008168-methyltransferase activity(L=4)
jg14283.t1	GO:0051537-2 iron, 2 sulfur cluster binding(L=4)
jg25023.t1	GO:0003755-peptidyl-prolyl cis-trans isomerase activity(L=4)
jg35470.t1	GO:0003723-RNA binding(L=4)
jg18041.t1	GO:0003723-RNA binding(L=4)
jg18041.t1	GO:0008168-methyltransferase activity(L=4)
jg36062.t1	GO:0016301-kinase activity(L=4)
jg36062.t1	GO:0016773-phosphotransferase activity, alcohol group as acceptor(L=4)
jg3313.t1	GO:0003677-DNA binding(L=4)
jg3313.t1	GO:0003723-RNA binding(L=4)
jg3313.t1	GO:0046872-metal ion binding(L=4)
jg34593.t1	GO:0003677-DNA binding(L=4)
jg34593.t1	GO:0046872-metal ion binding(L=4)
jg34303.t1	GO:0001883-purine nucleoside binding(L=4)
jg34303.t1	GO:0016301-kinase activity(L=4)
jg34303.t1	GO:0016773-phosphotransferase activity, alcohol group as acceptor(L=4)
jg34303.t1	GO:0017076-purine nucleotide binding(L=4)
jg34303.t1	GO:0032549-ribonucleoside binding(L=4)
jg34303.t1	GO:0032555-purine ribonucleotide binding(L=4)
jg34303.t1	GO:0035639-purine ribonucleoside triphosphate binding(L=4)
jg34303.t1	GO:0046872-metal ion binding(L=4)
jg24088.t1	GO:0015036-disulfide oxidoreductase activity(L=4)
jg24088.t1	GO:0016881-acid-amino acid ligase activity(L=4)
jg7459.t1	GO:0003677-DNA binding(L=4)
jg16273.t1	GO:0003984-acetolactate synthase activity(L=4)
jg16273.t1	GO:0031406-carboxylic acid binding(L=4)
jg25325.t1	GO:0046872-metal ion binding(L=4)
jg6.t1	GO:0001883-purine nucleoside binding(L=4)
jg6.t1	GO:0003779-actin binding(L=4)
jg6.t1	GO:0016301-kinase activity(L=4)
jg6.t1	GO:0016773-phosphotransferase activity, alcohol group as acceptor(L=4)
jg6.t1	GO:0017076-purine nucleotide binding(L=4)
jg6.t1	GO:0032549-ribonucleoside binding(L=4)
jg6.t1	GO:0032555-purine ribonucleotide binding(L=4)
jg6.t1	GO:0035091-phosphatidylinositol binding(L=4)
jg6.t1	GO:0035639-purine ribonucleoside triphosphate binding(L=4)
jg6.t1	GO:0051015-actin filament binding(L=4)
jg6.t1	GO:0070300-phosphatidic acid binding(L=4)
jg21093.t1	GO:0001883-purine nucleoside binding(L=4)
jg21093.t1	GO:0008168-methyltransferase activity(L=4)
jg21093.t1	GO:0016818-hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides(L=4)
jg21093.t1	GO:0017076-purine nucleotide binding(L=4)
jg21093.t1	GO:0032549-ribonucleoside binding(L=4)
jg21093.t1	GO:0032555-purine ribonucleotide binding(L=4)
jg21093.t1	GO:0035639-purine ribonucleoside triphosphate binding(L=4)
jg21093.t1	GO:0046872-metal ion binding(L=4)
jg102.t1	GO:0004553-hydrolase activity, hydrolyzing O-glycosyl compounds(L=4)
jg4006.t1	GO:0001883-purine nucleoside binding(L=4)
jg4006.t1	GO:0016301-kinase activity(L=4)
jg4006.t1	GO:0017076-purine nucleotide binding(L=4)
jg4006.t1	GO:0032549-ribonucleoside binding(L=4)
jg4006.t1	GO:0032555-purine ribonucleotide binding(L=4)
jg4006.t1	GO:0035639-purine ribonucleoside triphosphate binding(L=4)
jg34270.t1	GO:0003723-RNA binding(L=4)
jg14484.t1	GO:0004553-hydrolase activity, hydrolyzing O-glycosyl compounds(L=4)
jg15623.t1	GO:0046872-metal ion binding(L=4)
